,Murder,Class X,Class 1,Class 2,Class 3,Class 4
2018,20.6,4.4,1.95,1.5,0.9,0.6
2019,22.3,4.5,2.0,1.6,0.9,0.6
2020,18.5,5.0,2.0,1.3,0.8,0.6
2021,18.4,4.3,2.0,1.6,0.8,0.6
2022,22,5.4,1.5,1.1,0.6,0.4
2023,18.8,4.2,1.7,1.1,0.7,0.4
2024,17.7,5.0,1.6,1.2,0.7,0.5
