,Murder,Class X,Class 1,Class 2,Class 3,Class 4
2018,21.6,4.7,1.8,1.4,0.8,0.6
2019,22.8,4.5,2.0,1.6,0.9,0.6
2020,22.8,4.5,2.0,1.6,0.9,0.6
2021,17.9,5.2,2.0,1.5,0.9,0.6
2022,20.2,4.6,1.9,1.4,0.6,0.4
2023,23.5,4.4,1.3,1.1,0.6,0.5
2024,23.5,4.4,1.3,1.1,0.6,0.5
